NO,fecha,CASOS
1,01/01/2022,106
2,02/01/2022,109
3,03/01/2022,1007
4,04/01/2022,1919
5,05/01/2022,2044
6,06/01/2022,1839
7,07/01/2022,2050
8,08/01/2022,1042
9,09/01/2022,343
10,10/01/2022,2116
11,11/01/2022,2283
12,12/01/2022,2872
13,13/01/2022,2628
14,14/01/2022,2827
15,15/01/2022,1397
16,16/01/2022,384
17,17/01/2022,2901
18,18/01/2022,3199
19,19/01/2022,3173
20,20/01/2022,3189
21,21/01/2022,2995
22,22/01/2022,818
23,23/01/2022,659
24,24/01/2022,3070
25,25/01/2022,3655
26,26/01/2022,4094
27,27/01/2022,4234
28,28/01/2022,2784
29,29/01/2022,1283
30,30/01/2022,681
31,31/01/2022,4223
32,01/02/2022,3872
33,02/02/2022,3925
34,03/02/2022,3304
35,04/02/2022,4296
36,05/02/2022,1166
37,06/02/2022,981
38,07/02/2022,4025
39,08/02/2022,4720
40,09/02/2022,4899
41,10/02/2022,4275
42,11/02/2022,3983
43,12/02/2022,1139
44,13/02/2022,858
45,14/02/2022,4054
46,15/02/2022,4743
47,16/02/2022,4503
48,17/02/2022,4024
49,18/02/2022,3319
50,19/02/2022,988
51,20/02/2022,715
52,21/02/2022,3793
53,22/02/2022,4379
54,23/02/2022,3660
55,24/02/2022,3440
56,25/02/2022,2687
57,26/02/2022,729
58,27/02/2022,679
59,28/02/2022,3145
60,01/03/2022,3209
61,02/03/2022,2845
62,03/03/2022,2485
63,04/03/2022,2590
64,05/03/2022,559
65,06/03/2022,458
66,07/03/2022,2847
67,08/03/2022,2592
68,09/03/2022,2003
69,10/03/2022,2341
70,11/03/2022,1965
71,12/03/2022,321
72,13/03/2022,363
73,14/03/2022,2060
74,15/03/2022,2133
75,16/03/2022,2539
76,17/03/2022,1986
77,18/03/2022,1665
78,19/03/2022,360
79,20/03/2022,517
80,21/03/2022,1801
81,22/03/2022,2023
82,23/03/2022,1357
83,24/03/2022,1311
84,25/03/2022,1014
85,26/03/2022,343
86,27/03/2022,142
87,28/03/2022,1417
88,29/03/2022,1535
89,30/03/2022,1278
90,31/03/2022,1007
91,01/04/2022,864
92,02/04/2022,188
93,03/04/2022,216
94,04/04/2022,1010
95,05/04/2022,797
96,06/04/2022,767
97,07/04/2022,758
98,08/04/2022,732
99,09/04/2022,125
100,10/04/2022,87
101,11/04/2022,809
102,12/04/2022,853
103,13/04/2022,239
104,14/04/2022,51
105,15/04/2022,115
106,16/04/2022,66
107,17/04/2022,50
108,18/04/2022,910
109,19/04/2022,898
110,20/04/2022,1061
111,21/04/2022,864
112,22/04/2022,1028
113,23/04/2022,203
114,24/04/2022,81
115,25/04/2022,616
116,26/04/2022,790
117,27/04/2022,930
118,28/04/2022,879
119,29/04/2022,678
120,30/04/2022,65
121,01/05/2022,21
122,02/05/2022,153
123,03/05/2022,706
124,04/05/2022,607
125,05/05/2022,709
126,06/05/2022,610
127,07/05/2022,78
128,08/05/2022,57
129,09/05/2022,703
130,10/05/2022,458
131,11/05/2022,502
132,12/05/2022,662
133,13/05/2022,555
134,14/05/2022,71
135,15/05/2022,88
136,16/05/2022,689
137,17/05/2022,794
138,18/05/2022,817
139,19/05/2022,911
140,20/05/2022,574
141,21/05/2022,120
142,22/05/2022,80
143,23/05/2022,621
144,24/05/2022,818
145,25/05/2022,614
146,26/05/2022,682
147,27/05/2022,695
148,28/05/2022,92
149,29/05/2022,71
150,30/05/2022,837
151,31/05/2022,914
152,01/06/2022,840
153,02/06/2022,839
154,03/06/2022,965
155,04/06/2022,102
156,05/06/2022,106
157,06/06/2022,1132
158,07/06/2022,1401
159,08/06/2022,1059
160,09/06/2022,1285
161,10/06/2022,1252
162,11/06/2022,215
163,12/06/2022,151
164,13/06/2022,1525
165,14/06/2022,2138
166,15/06/2022,1573
167,16/06/2022,1902
168,17/06/2022,1768
169,18/06/2022,298
170,19/06/2022,248
171,20/06/2022,2950
172,21/06/2022,3082
173,22/06/2022,3166
174,23/06/2022,3158
175,24/06/2022,3062
176,25/06/2022,717
177,26/06/2022,612
178,27/06/2022,3838
179,28/06/2022,4342
180,29/06/2022,5072
181,30/06/2022,4607
182,01/07/2022,3476
